sample_idx	IID	FID	dominant_component_broad	q_max_broad	best_embedding_axis1	best_embedding_method	sample_order_rank
282	PEMB_06636	PEMB	2	0.53402	-1.4599572	PhyloAE	1056
563	AUSS_11425	AUSS	2	0.533745	-1.029481	PhyloAE	1057
11	SALU_24003	SALU_Tribal	2	0.533516	-0.40593633	PhyloAE	1058
1211	CHIN_14B01	CHIN	2	0.533364	-1.2241335	PhyloAE	1059
485	CARD_06199	CARD	2	0.532371	-1.3596823	PhyloAE	1060
565	AUSS_11429	AUSS	2	0.530665	-1.0333377	PhyloAE	1061
1295	COOK_31648	COOK	2	0.530569	3.5428696	PhyloAE	1062
730	PEMB_09017	PEMB	2	0.530264	-1.4639388	PhyloAE	1063
1111	SCWT_25272	SCWT	2	0.530012	-1.5698819	PhyloAE	1064
38	CANE_24548	CANE_Italy	2	0.526458	-1.7526681	PhyloAE	1065
544	PEMB_06681	PEMB	2	0.525299	-1.467352	PhyloAE	1066
24	CANE_24509	CANE_Italy	2	0.523364	-1.7713526	PhyloAE	1067
1215	CHIN_14F02	CHIN	2	0.522395	-1.2236122	PhyloAE	1068
1223	LHSA_14E09	LHSA	2	0.521655	-1.4303908	PhyloAE	1069
772	ANAT_07334	ANAT	2	0.520994	-0.512271	PhyloAE	1070
776	ANAT_07066	ANAT	2	0.520656	-0.51720136	PhyloAE	1071
28	CANE_24520	CANE_Italy	2	0.519872	-1.690794	PhyloAE	1072
729	PEMB_07293	PEMB	2	0.518973	-1.465989	PhyloAE	1073
25	CANE_24515	CANE_Italy	2	0.51862	-1.7221171	PhyloAE	1074
763	SHIH_03615	SHIH	2	0.518239	-2.056297	PhyloAE	1075
759	SHIH_03591	SHIH	2	0.51558	-1.8463831	PhyloAE	1076
775	ANAT_07069	ANAT	2	0.515342	-0.51620656	PhyloAE	1077
264	PEMB_06638	PEMB	2	0.515217	-1.4676491	PhyloAE	1078
1212	CHIN_14F01	CHIN	2	0.515127	-1.2245075	PhyloAE	1079
756	SHIH_03191	SHIH	2	0.51463	-1.8350111	PhyloAE	1080
758	SHIH_03590	SHIH	2	0.513633	-2.0608969	PhyloAE	1081
773	ANAT_07680	ANAT	2	0.51228	-0.5066231	PhyloAE	1082
1225	LHSA_14D11	LHSA	2	0.512155	-1.3526515	PhyloAE	1083
761	SHIH_03613	SHIH	2	0.508837	-2.0093975	PhyloAE	1084
1049	CANE_28922	CANE	2	0.507982	-1.8171308	PhyloAE	1085
755	SHIH_03166	SHIH	2	0.507863	-1.978432	PhyloAE	1086
