run_id,perplexity,metric,n_components,seed,trustworthiness,silhouette_breed,seed_stability_vs_base,embedding_csv
tsne_manhattan_perp15_seed256_3d,15,manhattan,3,256,0.947148310183525,0.7543501241819541,0.8350037397157817,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_manhattan_perp15_seed256_3d.csv
tsne_euclidean_perp30_seed7_2d,30,euclidean,2,7,0.9051551536167473,0.7603287291672134,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp30_seed7_2d.csv
tsne_euclidean_perp30_seed42_2d,30,euclidean,2,42,0.9057853839536404,0.760973724791515,0.7796060832710047,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp30_seed42_2d.csv
tsne_euclidean_perp30_seed99_2d,30,euclidean,2,99,0.9088496361034553,0.7638036900043971,0.7552729992520568,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp30_seed99_2d.csv
tsne_euclidean_perp30_seed123_2d,30,euclidean,2,123,0.9059526940183901,0.7620664293219072,0.7713288456743954,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp30_seed123_2d.csv
tsne_euclidean_perp30_seed256_2d,30,euclidean,2,256,0.9069919593264641,0.7608057311499176,0.7753677387185242,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp30_seed256_2d.csv
tsne_euclidean_perp30_seed7_3d,30,euclidean,3,7,0.8863983254573515,0.5685805332152523,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp30_seed7_3d.csv
tsne_euclidean_perp30_seed42_3d,30,euclidean,3,42,0.8879562178134939,0.5745895453040991,0.644427823485415,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp30_seed42_3d.csv
tsne_euclidean_perp30_seed99_3d,30,euclidean,3,99,0.890653708390207,0.5777025838679135,0.6511094490152082,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp30_seed99_3d.csv
tsne_euclidean_perp30_seed123_3d,30,euclidean,3,123,0.8880375770284685,0.5670011828336042,0.6612316130640737,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp30_seed123_3d.csv
tsne_euclidean_perp30_seed256_3d,30,euclidean,3,256,0.8895506155636688,0.5776191819997865,0.6285714285714287,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_euclidean_perp30_seed256_3d.csv
tsne_cosine_perp30_seed7_2d,30,cosine,2,7,0.9265632903730874,0.769740513952367,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp30_seed7_2d.csv
tsne_cosine_perp30_seed42_2d,30,cosine,2,42,0.9267149281636838,0.7701023454998664,0.9467963101470955,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp30_seed42_2d.csv
tsne_cosine_perp30_seed99_2d,30,cosine,2,99,0.9272812550873226,0.7702500457320317,0.9474445275492398,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp30_seed99_2d.csv
tsne_cosine_perp30_seed123_2d,30,cosine,2,123,0.9256914869193432,0.7713335056967935,0.9633009224632262,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp30_seed123_2d.csv
tsne_cosine_perp30_seed256_2d,30,cosine,2,256,0.9262779259623555,0.7723967942977782,0.9415607080528547,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp30_seed256_2d.csv
tsne_cosine_perp30_seed7_3d,30,cosine,3,7,0.9308283119442842,0.680154686614999,1.0,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp30_seed7_3d.csv
tsne_cosine_perp30_seed42_3d,30,cosine,3,42,0.9312675909893151,0.6775444466091293,0.7950635751682872,/Users/ariya/Documents/school/columbia/CBMF4761/Project/results/embeddings/tsne_cosine_perp30_seed42_3d.csv
