row_type	K	component	cv_error	delta_cv	pct_improvement	delta2_cv	mean_q_max	median_q_max	qmax_p10	qmax_p25	qmax_p75	qmax_p90	mean_h_norm	median_h_norm	mean_k_eff	median_k_eff	adjacent_mean_parent_corr	adjacent_dominant_nmi	adjacent_dominant_preserved_frac	k_cv_min	k_elbow	k_broad_default	k_fine_default	component_mass_mean_q	component_n_q_ge_0_5	component_n_q_ge_0_2	component_rank_within_k	component_embedding_separability	k_rank	is_broad_or_fine_default	embedding_nmi_max
component	16	2.0																						0.0994616469708302	43.0	88.0	2.0	0.9794407745905348	23	0	-1.0
component	16	3.0																						0.060245163051608	60.0	95.0	5.0	0.9723569138837883	23	0	-1.0
component	16	4.0																						0.0268458653702318	20.0	20.0	13.0	0.873212639705035	23	0	-1.0
component	16	5.0																						0.3132359611069558	280.0	874.0	1.0	0.7343915458511266	23	0	-1.0
component	16	6.0																						0.0953324382946896	62.0	179.0	3.0	0.9092997627181051	23	0	-1.0
component	16	7.0																						0.0139950426327599	10.0	10.0	16.0		23	0	-1.0
component	16	8.0																						0.0453279005235602	40.0	45.0	7.0	0.9683843183843184	23	0	-1.0
component	16	9.0																						0.0588310560957367	20.0	42.0	6.0	0.5420177406752822	23	0	-1.0
component	16	10.0																						0.0296200037397157	30.0	30.0	11.0	0.973981457108596	23	0	-1.0
component	16	11.0																						0.0434174420344053	25.0	61.0	8.0	0.9125527175527177	23	0	-1.0
component	16	12.0																						0.0291678623784592	10.0	48.0	12.0		23	0	-1.0
component	16	13.0																						0.0641562812266267	21.0	64.0	4.0	0.7516859208316994	23	0	-1.0
component	16	14.0																						0.0265405467464472	20.0	20.0	14.0	0.9924098398432999	23	0	-1.0
component	16	15.0																						0.0355255086013463	20.0	40.0	10.0	0.7981852572103059	23	0	-1.0
component	16	16.0																						0.036574574420344	28.0	28.0	9.0	0.8300254452926209	23	0	-1.0
k_summary	17		0.64728	0.00191	0.2942127882438235	-0.0004699999999998	0.6102972026925954	0.538062	0.33258	0.408616	0.851508	0.99984	0.4737416265898483	0.5733010086589894	3.0759992183293936	3.0013581389318964	0.9818756897639292	0.940676489120882	0.9696279422930904	30.0	10.0	8.0	15.0						21	0	-1.0
component	17	1.0																						0.0296500740463724	10.0	48.0	12.0		21	0	-1.0
component	17	2.0																						0.096627995512341	62.0	176.0	2.0	0.9202136546184739	21	0	-1.0
component	17	3.0																						0.0264977217651458	20.0	20.0	15.0	0.9924098398432999	21	0	-1.0
component	17	4.0																						0.0595796611817501	60.0	89.0	4.0	0.9723569138837883	21	0	-1.0
component	17	5.0																						0.0679125056095736	27.0	66.0	3.0	0.8333413147366636	21	0	-1.0
component	17	6.0																						0.038454354525056	28.0	28.0	9.0	0.8300254452926209	21	0	-1.0
component	17	7.0																						0.3427048990276739	334.0	897.0	1.0	0.7152096285351205	21	0	-1.0
component	17	8.0																						0.0213000306656694	10.0	11.0	16.0		21	0	-1.0
component	17	9.0																						0.0433443919222139	25.0	61.0	6.0	0.9141728541728542	21	0	-1.0
component	17	10.0																						0.0300791256544502	10.0	21.0	11.0		21	0	-1.0
component	17	11.0																						0.0414211069558713	21.0	26.0	8.0	0.9676298145299393	21	0	-1.0
component	17	12.0																						0.0360720553477935	20.0	40.0	10.0	0.8724904942965779	21	0	-1.0
component	17	13.0																						0.0141759985041136	10.0	10.0	17.0		21	0	-1.0
component	17	14.0																						0.0538585946148092	40.0	55.0	5.0	0.9683843183843184	21	0	-1.0
component	17	15.0																						0.0268137509349289	20.0	20.0	14.0	0.873212639705035	21	0	-1.0
component	17	16.0																						0.043071564697083	20.0	25.0	7.0	0.9325095057034221	21	0	-1.0
component	17	17.0																						0.0284361540762902	30.0	30.0	13.0	0.973981457108596	21	0	-1.0
k_summary	18		0.64541	0.0018699999999999	0.2889012483005697	-4.0000000000151026e-05	0.6076728780852656	0.527499	0.3288678	0.394351	0.837373	0.99983	0.4667296917029675	0.5588281099285864	3.1883868414840237	3.0076398836515525	0.9564195587167224	0.8965326145593789	0.9314242652599848	30.0	10.0	8.0	15.0						18	0	-1.0
component	18	1.0																						0.0371819364248317	20.0	25.0	9.0	0.9325095057034221	18	0	-1.0
component	18	2.0																						0.3149410688107704	317.0	856.0	1.0	0.7300782530679154	18	0	-1.0
component	18	3.0																						0.0471823455497382	20.0	22.0	6.0	0.9673306256481162	18	0	-1.0
component	18	4.0																						0.0184186103216155	10.0	11.0	17.0		18	0	-1.0
component	18	5.0																						0.0860681361256544	52.0	157.0	2.0	0.9142580990629183	18	0	-1.0
component	18	6.0																						0.0393834577412116	23.0	61.0	8.0	0.9125527175527177	18	0	-1.0
component	18	7.0																						0.0577575138369483	21.0	64.0	5.0	0.9097861597861598	18	0	-1.0
component	18	8.0																						0.0587444465220643	60.0	91.0	4.0	0.9723569138837883	18	0	-1.0
component	18	9.0																						0.025952540762902	20.0	20.0	15.0	0.9924098398432999	18	0	-1.0
component	18	10.0																						0.0281523507853403	30.0	30.0	13.0	0.973981457108596	18	0	-1.0
component	18	11.0																						0.0343520538519072	28.0	28.0	12.0	0.8300254452926209	18	0	-1.0
component	18	12.0																						0.04554671802543	40.0	45.0	7.0	0.9683843183843184	18	0	-1.0
component	18	13.0																						0.0679808578908003	20.0	70.0	3.0	0.7266906741906741	18	0	-1.0
component	18	14.0																						0.0250842789827973	20.0	20.0	16.0	0.873212639705035	18	0	-1.0
component	18	15.0																						0.0344299498878085	20.0	40.0	11.0	0.8138768757437669	18	0	-1.0
